# Present path LIVE (MAMESTer core loaded, write-combined), 600 frames.
# setname	fps	driver_file	drc	fallback	title
sandscrp	35.4	kaneko/sandscrp.cpp	-	-	Sand Scorpion
buggychl	35.3	taito/buggychl.cpp	-	-	Buggy Challenge
tetriskr	35.3	pc/tetriskr.cpp	-	-	Tetris (Korean bootleg of Mirrorsoft PC-XT Tetris)
tubep	35.3	nichibutsu/tubep.cpp	-	-	Tube Panic
circus	35.2	exidy/circus.cpp	-	mame4all	Circus / Acrobat TV
marvland	35.2	namco/namcos2.cpp	-	mame4all	Marvel Land (Japan)
metlhawk	35.2	namco/namcos2.cpp	-	mame4all	Metal Hawk (Rev C)
skyraid	35.2	atari/skyraid.cpp	-	-	Sky Raider
bioship	35.1	nmk/nmk16.cpp	-	mame4all	Bio-ship Paladin
rbislande	35.1	taito/rbisland.cpp	-	mame4all	Rainbow Islands - Extra Version
rohga	35.0	dataeast/rohga.cpp	-	-	Rohga: Armor Force (Asia/Europe v5.0)
burnforc	34.8	namco/namcos2.cpp	-	mame4all	Burning Force (Japan, new version (Rev C))
gekisou	34.8	alpha/equites.cpp	-	-	Gekisou (Japan)
ultrax	34.8	seta/ssv.cpp	-	-	Ultra X Weapons / Ultra Keibitai
bladestl	34.7	konami/bladestl.cpp	-	mame4all	Blades of Steel (version T, Joystick)
bejpoker	34.6	misc/miniboy7.cpp	-	-	Bonanza's Joker Poker
miniboy7	34.6	misc/miniboy7.cpp	-	-	Mini-Boy 7 (set 1)
upyoural	34.6	cinematronics/leland.cpp	-	mame4all	Up Your Alley
bullfgtr	34.5	alpha/equites.cpp	-	-	Bull Fighter
gulfstrm	34.4	dooyong/dooyong.cpp	-	-	Gulf Storm (set 1)
kbash	34.4	toaplan/kbash.cpp	-	mame4all	Knuckle Bash
leds2011	34.4	capcom/lastduel.cpp	-	mame4all	Led Storm Rally 2011 (World)
progolf	34.4	dataeast/progolf.cpp	-	-	18 Holes Pro Golf (set 1)
beezer	34.3	misc/beezer.cpp	-	-	Beezer (version 9.0)
bonzeadv	34.3	taito/asuka.cpp	-	-	Bonze Adventure (World, rev 1)
lastduel	34.3	capcom/lastduel.cpp	-	mame4all	Last Duel (US New Ver.)
laststar	34.3	atari/atarisy4.cpp	-	-	The Last Starfighter (prototype)
syvalion	34.0	taito/taito_h.cpp	-	-	Syvalion (Japan)
gp98	33.9	igs/igs009.cpp	-	-	Grand Prix '98 (V100K, set 1)
kbash2	33.8	toaplan/kbash.cpp	-	mame4all	Knuckle Bash 2 (bootleg of Knuckle Bash)
skybump	33.8	videogames/looping.cpp	-	-	Sky Bumper
captflag	33.6	jaleco/scudhamm.cpp	-	-	Captain Flag (Japan)
dangerex	33.6	atari/atarig42.cpp	-	-	Danger Express (prototype)
mrsdyna	33.6	universal/sraider.cpp	-	-	Mrs. Dynamite
tomagic	33.5	nmk/nmk16.cpp	-	mame4all	Tom Tom Magic
batman	33.4	atari/batman.cpp	-	mame4all	Batman
dquizgo	33.4	dataeast/tumbleb.cpp	-	-	Date Quiz Go Go (Korea)
dynduke	33.4	seibu/dynduke.cpp	-	mame4all	Dynamite Duke (Europe, 03SEP89)
loderndf	33.4	psikyo/psikyo4.cpp	sh	-	Lode Runner - The Dig Fight (ver. B)
mcatadv	33.3	misc/mcatadv.cpp	-	-	Magical Cat Adventure
tunhunt	33.3	atari/tunhunt.cpp	-	-	Tunnel Hunt
wseries	33.3	cinematronics/leland.cpp	-	mame4all	World Series: The Season (rev 1)
chokchok	33.2	dataeast/tumbleb.cpp	-	-	Choky! Choky!
mosaic	33.2	misc/mosaic.cpp	-	-	Mosaic
tbowl	33.2	tecmo/tbowl.cpp	-	-	Tecmo Bowl (World, set 1)
bigevglf	33.1	taito/bigevglf.cpp	-	-	Big Event Golf (US)
bubbletr	33.1	namco/namcos2.cpp	-	mame4all	Bubble Trouble - Golly! Ghost! 2 (World, Rev B)
dbldynj	33.0	seibu/dynduke.cpp	-	mame4all	The Double Dynamites (Japan, 13NOV89)
equites	33.0	alpha/equites.cpp	-	-	Equites
finehour	33.0	namco/namcos2.cpp	-	mame4all	Finest Hour (Japan)
kouyakyu	33.0	alpha/equites.cpp	-	-	The Koukou Yakyuu
kyukaidk	33.0	namco/namcos2.cpp	-	mame4all	Kyuukai Douchuuki (Japan, new version (Rev B))
moomesa	33.0	konami/moo.cpp	-	-	Wild West C.O.W.-Boys of Moo Mesa (ver EAB)
hotchase	32.8	konami/wecleman.cpp	-	mame4all	Hot Chase (set 1)
pzlbowl	32.7	seta/seta2.cpp	-	-	Puzzle De Bowling (Japan)
bestbest	32.6	suna/suna16.cpp	-	-	Best Of Best
htchctch	32.5	dataeast/tumbleb.cpp	-	-	Hatch Catch
ripcord	32.5	exidy/circus.cpp	-	mame4all	Rip Cord
3kokushi	32.4	metro/metro.cpp	-	-	Sankokushi (Japan)
chsuper3	32.4	misc/chsuper.cpp	-	-	Champion Super 3 (V0.35)
eaglshot	32.4	seta/ssv.cpp	-	-	Eagle Shot Golf (US)
lemmings	32.4	dataeast/lemmings.cpp	-	-	Lemmings (US prototype)
madalien	32.4	dataeast/madalien.cpp	-	-	Mad Alien (set 1)
madgear	32.4	capcom/lastduel.cpp	-	mame4all	Mad Gear (US)
strkzone	32.4	cinematronics/leland.cpp	-	mame4all	Strike Zone Baseball
dsaber	32.3	namco/namcos2.cpp	-	mame4all	Dragon Saber (World, DO2)
bucky	32.2	konami/moo.cpp	-	-	Bucky O'Hare (ver EAB)
dangerz	32.2	cinematronics/leland.cpp	-	mame4all	Danger Zone (rev 2)
mf_flip	32.2	atari/maxaflex.cpp	-	-	Flip & Flop (Max-A-Flex)
asuka	32.1	taito/asuka.cpp	-	-	Asuka & Asuka (World)
gollygho	32.1	namco/namcos2.cpp	-	mame4all	Golly! Ghost!
vscaptfl	32.1	jaleco/scudhamm.cpp	-	-	Vs. Super Captain Flag (Japan)
hardhea2	32.0	suna/suna8.cpp	-	mame4all	Hard Head 2 (v2.0, Music Program v2.4)
mf_bdash	32.0	atari/maxaflex.cpp	-	-	Boulder Dash (Max-A-Flex)
vandyke	32.0	nmk/nmk16.cpp	-	mame4all	Vandyke (Japan)
basebal2	31.9	cinematronics/leland.cpp	-	mame4all	Baseball: The Season II
dblplay	31.9	cinematronics/leland.cpp	-	mame4all	Super Baseball Double Play Home Run Derby
gfire2	31.8	misc/mosaic.cpp	-	-	Golden Fire II
exvania	31.7	namco/namcona1.cpp	-	-	Exvania (World)
quantum	31.7	atari/quantum.cpp	-	mame4all	Quantum (rev 2)
jjack	31.6	universal/docastle.cpp	-	mame4all	Jumping Jack
kickridr	31.6	universal/docastle.cpp	-	mame4all	Kick Rider
rolcrush	31.6	misc/dreamwld.cpp	-	-	Rolling Crush (version 1.07.E - 1999/02/11, Trust license)
baryon	31.5	misc/dreamwld.cpp	-	-	Baryon - Future Assault (set 1)
dorunrun	31.5	universal/docastle.cpp	-	mame4all	Do! Run Run (set 1)
dowild	31.5	universal/docastle.cpp	-	mame4all	Mr. Do's Wild Ride
funkyjet	31.5	dataeast/funkyjet.cpp	-	-	Funky Jet (World, rev 1)
mtlchamp	31.5	konami/mystwarr.cpp	-	-	Martial Champion (ver EAB)
vindictr	31.5	atari/vindictr.cpp	-	mame4all	Vindicators (rev 5)
scion	31.4	seibu/wiz.cpp	-	mame4all	Scion
mf_brist	31.3	atari/maxaflex.cpp	-	-	Bristles (Max-A-Flex)
docastle	31.2	universal/docastle.cpp	-	mame4all	Mr. Do's Castle (set 1)
powrplay	31.2	cinematronics/leland.cpp	-	mame4all	Power Play
strahl	31.2	nmk/nmk16.cpp	-	mame4all	Koutetsu Yousai Strahl (World)
wingforc	31.2	kaneko/kaneko16.cpp	-	mame4all	Wing Force (Japan, prototype)
wondl96	31.2	dataeast/tumbleb.cpp	-	-	Wonder League '96 (Korea)
sfkick	31.1	msx/sfkick.cpp	-	-	Super Free Kick (set 1)
triviaqz	31.1	misc/triviaquiz.cpp	-	-	Professor Trivia (set 1)
xtheball	31.1	rare/xtheball.cpp	-	-	X the Ball
dreamwld	31.0	misc/dreamwld.cpp	-	-	Dream World
bkrtmaq	30.9	namco/namcona1.cpp	-	-	Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
brickzn	30.9	suna/suna8.cpp	-	mame4all	Brick Zone (v6.0, Joystick)
enforce	30.9	taito/taito_z.cpp	-	-	Enforce (World)
gaialast	30.9	misc/dreamwld.cpp	-	-	Gaia - The Last Choice of Earth
motofren	30.9	atari/atarigx2.cpp	-	-	Moto Frenzy
stinger	30.9	seibu/wiz.cpp	-	mame4all	Stinger
numanath	30.7	namco/namcona1.cpp	-	-	Numan Athletics (World)
cpoker2	30.7	igs/igs017.cpp	-	-	Champion Poker 2 (V100A)
cutefght	30.7	misc/dreamwld.cpp	-	-	Cute Fighter
mf_achas	30.7	atari/maxaflex.cpp	-	-	Astro Chase (Max-A-Flex)
telpacfl	30.7	seta/seta2.cpp	-	-	TelePachi Fever Lion (V1.0)
rjammer	30.6	nichibutsu/tubep.cpp	-	-	Roller Jammer
rthun2	30.6	namco/namcos2.cpp	-	mame4all	Rolling Thunder 2
aztarac	30.5	alliedleisure/aztarac.cpp	-	mame4all	Aztarac
dogyuun	30.5	toaplan/dogyuun.cpp	-	mame4all	Dogyuun
hvoltage	30.4	alpha/splendor.cpp	-	-	High Voltage
penbros	30.4	seta/seta2.cpp	-	-	Penguin Brothers (Japan)
knckhead	30.3	namco/namcona1.cpp	-	-	Knuckle Heads (World)
swcourt	30.3	namco/namcona1.cpp	-	-	Super World Court (World)
xymg	30.3	igs/igs011.cpp	-	-	Xingyun Manguan (China, V651C, set 1)
tinklpit	30.2	namco/namcona1.cpp	-	-	Tinkle Pit (Japan)
eprom	30.2	atari/eprom.cpp	-	mame4all	Escape from the Planet of the Robot Monsters (set 1)
nost	30.2	misc/mcatadv.cpp	-	-	Nostradamus
cgangpzl	30.1	namco/namcona1.cpp	-	-	Cosmo Gang the Puzzle (US)
dbz2	30.1	konami/dbz.cpp	-	-	Dragon Ball Z 2 - Super Battle
idsoccer	30.1	universal/docastle.cpp	-	mame4all	Indoor Soccer (set 1)
pachifev	30.1	misc/pachifev.cpp	-	-	Pachifever
quasar	30.1	zaccaria/quasar.cpp	-	-	Quasar (set 1)
stunrun	30.0	atari/harddriv.cpp	-	-	S.T.U.N. Runner (rev 6)
irobot	29.9	atari/irobot.cpp	-	mame4all	I, Robot
quiztou	29.8	namco/namcona1.cpp	-	-	Nettou! Gekitou! Quiztou!! (Japan)
emeralda	29.8	namco/namcona1.cpp	-	-	Emeraldia (World)
xday2	29.7	namco/namcona1.cpp	-	-	X-Day 2 (Japan)
sgunner	29.7	namco/namcos2.cpp	-	mame4all	Steel Gunner (Rev B)
fghtatck	29.6	namco/namcona1.cpp	-	-	Fighter & Attacker (US)
